CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,83,519","43,841","7,85,364",14.50,3.20,-4.15,"39,075",3.15,3.20,"72,300","26,000.00",300,524.35,525.85,75,-12.40,525.65,-,"10,166","-2,820","5,753",
,"28,672","8,901","2,74,153",15.03,2.40,-3.20,"1,14,975",2.40,2.45,"43,200","26,050.00",75,574.30,576.30,75,-13.05,573.60,-,172,9,70,
,"62,482","8,665","4,11,679",15.54,1.90,-2.40,"1,77,900",1.85,1.90,"96,525","26,100.00",75,622.45,625.25,75,-9.20,626.30,-,358,15,445,
,"19,331","-8,675","2,83,243",16.24,1.65,-1.80,"88,575",1.60,1.65,"94,200","26,150.00",75,672.80,676.05,75,-15.25,670.00,-,51,-4,31,
,"80,301","9,211","4,25,587",16.94,1.40,-1.35,"2,55,825",1.40,1.45,"1,22,775","26,200.00",75,721.80,724.80,75,-9.80,725.00,-,198,-20,511,
,"20,130","2,690","1,31,561",17.67,1.30,-1.00,"98,250",1.25,1.30,"87,975","26,250.00",75,772.25,776.10,150,-22.10,762.80,-,64,-,33,
,"61,730","-17,258","3,26,479",18.23,1.10,-0.85,"3,89,025",1.05,1.10,"6,49,650","26,300.00",75,821.05,824.50,75,-17.70,815.00,-,142,19,219,
,"14,501",-392,"69,200",19.06,1.05,-0.60,"1,04,025",1.00,1.05,"1,05,375","26,350.00",75,870.90,875.05,75,-3.15,883.05,25.29,28,-5,28,
,"44,381","-3,504","1,38,064",19.87,0.95,-0.45,"3,61,500",0.90,0.95,"2,09,775","26,400.00",75,922.00,924.50,75,-22.80,914.90,-,24,-1,81,
,"16,458","-1,402","61,735",20.80,0.95,-0.30,"86,025",0.90,0.95,"1,15,125","26,450.00","1,050",953.40,996.20,"1,050",-,-,-,-,-,32,
